"";"name";"name_url";"authors";"type";"description";"link_download_citations"
"197";"Use of radiations for breaking hybrid necrosis in wheat";"https://link.springer.com/article/10.1007/BF00021983";"D. Sharma in Euphytica (1969)";"Article";"
      This report deals with a method of precluding hybrid necrosis lethality in wheat crosses by treatment of F1 hybrid seeds with gamma rays from 60Co source. Two crosses i.e. C306 × Kalyan 227 and C306 × U.S.A. 190 ...
    ";"https://citation-needed.springer.com/v2/references/10.1007/BF00021983?format=refman&flavour=citation"
"198";"Germplasm improvement for preharvest sprouting resistance in Chinese white-grained wheat: An overview of the current strategy";"https://link.springer.com/article/10.1023/A%3A1019679924173";"Shi-He Xiao, Xiu-Ying Zhang, Chang-Sheng Yan, Hai Lin in Euphytica (2002)";"Article";"
      Most modern white-grained wheat (Triticum aestivum...L.) cultivars in China lack sprouting resistance. Some white grain varieties showed lower preharvest sprouting percentage in different years. Tolerance to spro...
    ";"https://citation-needed.springer.com/v2/references/10.1023/A:1019679924173?format=refman&flavour=citation"
"199";"Relationship between anther culture response and aluminium tolerance in wheat (Triticum aestivum L.)";"https://link.springer.com/article/10.1023/A%3A1018316509221";"I. Karsai, Z. Bedö in Euphytica (1998)";"Article";"
      A combination of in vivo and in vitro selection methods were used to increase aluminium tolerance in wheat using wheat x triticale crosses. Both in vivo and ... to aluminium in seedling tests than the winter wheat
    ";"https://citation-needed.springer.com/v2/references/10.1023/A:1018316509221?format=refman&flavour=citation"
"200";"Leaf and stem rust resistance of hexaploid wheat cultivars salzmünder bartweizen and weique";"https://link.springer.com/article/10.1007/BF00035671";"P. Bartoš, I. Bareš in Euphytica (1971)";"Article";"
      Wheat cultivars Salzmünder Bartweizen and Weique gave a...
    ";"https://citation-needed.springer.com/v2/references/10.1007/BF00035671?format=refman&flavour=citation"
"201";"Selection for yield in wheat breeding";"https://link.springer.com/article/10.1007/BF00029170";"D. R. Knott in Euphytica (1979)";"Article";"
      If selection based on F3 yield tests is to be effective, the yield tests must be successful in discriminating among yield genotypes. The available literature indicates that simple tests with limited or no replica...
    ";"https://citation-needed.springer.com/v2/references/10.1007/BF00029170?format=refman&flavour=citation"
"202";"Genotypic differences in polyembryo formation and somatic embryogenesis increment in wheat (Triticum aestivum L.), following 2,4-D treatment";"https://link.springer.com/article/10.1007/BF00022291";"Rosario Linacero, Marisa G. López-Bilbao, Concepción Romero, David A. Laurie… in Euphytica (1996)";"Article";"
      In the course of experiments performed to obtain haploid wheat plants in which 2,4-dichlorophenoxyacetic acid...in vitro after 2,4-D treatment, gave a higher frequency of embryogenic callus in Thatcher and Chris ...
    ";"https://citation-needed.springer.com/v2/references/10.1007/BF00022291?format=refman&flavour=citation"
"203";"Identification, cloning and characterisation of a HMW-glutenin gene from an old Hungarian wheat variety, Bánkúti 1201";"https://link.springer.com/article/10.1023/A%3A1017582019450";"A. Juhász, L. Tamás, I. Karsai, G. Vida, L. Láng, Z. Bedő in Euphytica (2001)";"Article";"
      Despite its good functional properties, the varietyBánkúti 1201 has been found to possess 2 + 12 or 3 + 12 allelecomposition on chromosome 1D. In order to determine the reason for itsquality traits a gene-spec...
    ";"https://citation-needed.springer.com/v2/references/10.1023/A:1017582019450?format=refman&flavour=citation"
"204";"Method for screening bread wheat for tolerance to boron";"https://link.springer.com/article/10.1023/A%3A1018316325208";"T.A. Campbell, A.J. Rathjen, J.G. Paull, A.K.M.R. Islam in Euphytica (1998)";"Article";"
      A new method for screening wheat for boron tolerance has been developed to ... an index of tolerance. Five varieties of wheat were screened at seven concentrations of B....
    ";"https://citation-needed.springer.com/v2/references/10.1023/A:1018316325208?format=refman&flavour=citation"
"205";"The influence of certain chromosomes of the hexaploid wheat cultivar Thatcher on time to ear emergence in Chinese Spring";"https://link.springer.com/article/10.1007/BF00036871";"R. G. Flood, G. M. Halloran in Euphytica (1983)";"Article";"
      The influence of vernalization on days to ear emergence in hexaploid wheat (Triticum aestivum
      L. em. Thell.) was examined in five Chinese Spring/Thatcher (CS/T) chromosome substitution lines. CS/T 5A and 5D were ...
    ";"https://citation-needed.springer.com/v2/references/10.1007/BF00036871?format=refman&flavour=citation"
"206";"Molecular tagging of the yellow rust resistance gene Yr10 in common wheat, P.I.178383 (Triticum aestivum L.)";"https://link.springer.com/article/10.1023/A%3A1015689817857";"Lanfen Wang, Jianxin Ma, Ronghua Zhou, Xiaoming Wang, Jizeng Jia in Euphytica (2002)";"Article";"
      A microsatellite marker, Xpsp3000, located on the end of chromosome 1BS was linked with the yellow rust resistant gene, Yr10, with a distance 1.2 cM. It could be used in marker assisted selection.
    ";"https://citation-needed.springer.com/v2/references/10.1023/A:1015689817857?format=refman&flavour=citation"
"207";"Detection of repeated genotypes among 93 diploid wheat accessions";"https://link.springer.com/article/10.1007/BF00015125";"T. B. Ramey, J. G. Waines, J. A. Mosjidis in Euphytica (1988)";"Article";"
      An objective procedure was developed to find and eliminate repeated genotypes from a set of crop cultivars or accessions which may be used as parents for future plant breeding programs. Nonhierarchical, nonexclus...
    ";"https://citation-needed.springer.com/v2/references/10.1007/BF00015125?format=refman&flavour=citation"
"208";"Genetic studies of antifreeze proteins and their correlation with winter survival in wheat";"https://link.springer.com/article/10.1023/A%3A1018333730936";"J.U. Chun, X.M. Yu, M. Griffith in Euphytica (1998)";"Article";"
      Antifreeze proteins (AFPs) accumulate in the leaves of winter cereals during cold acclimation, where they may inhibit ice recrystallization during freezing and thawing cycles and provide nonspecific disease resis...
    ";"https://citation-needed.springer.com/v2/references/10.1023/A:1018333730936?format=refman&flavour=citation"
"209";"Chromosomal location of dwarfing gene Rht12 in wheat";"https://link.springer.com/article/10.1007/BF00041496";"J. Sutka, G. Kovács in Euphytica (1987)";"Article";"
      The chromosomal location of the dwarfing gene Rht12 in the mutant winter wheat Karcagi 522M7K was investigated using F2 monosomic analysis. The segregation ratio for F2 progenies of Chinese Spring monosomics × Ka...
    ";"https://citation-needed.springer.com/v2/references/10.1007/BF00041496?format=refman&flavour=citation"
"210";"Additional genes inhibiting winter habit in wheat";"https://link.springer.com/article/10.1007/BF00039355";"A. T. Pugsley in Euphytica (1972)";"Article";"
      Earlier studies of the genetics of winter-spring habit in wheat, in conjunction with the present studies,...Vrn
      1..., making it only one step removed from the winter wheats.
    ";"https://citation-needed.springer.com/v2/references/10.1007/BF00039355?format=refman&flavour=citation"
"211";"Improving the end use properties of wheat by manipulating the grain protein composition";"https://link.springer.com/article/10.1023/A%3A1017590321267";"P.R Shewry, A.S Tatham, R. Fido, H. Jones, P. Barcelo, P.A. Lazzeri in Euphytica (2001)";"Article";"
      The wheat storage proteins account for up to about...
    ";"https://citation-needed.springer.com/v2/references/10.1023/A:1017590321267?format=refman&flavour=citation"
"212";"Structure of the isozymes of the AAT-2 and AAT-3 systems of asparate aminotransferase in wheat, rye and triticale";"https://link.springer.com/article/10.1007/BF00028550";"F. Diaz, N. Jouve in Euphytica (1986)";"Article";"
      The electrophoretic isozyme phenotypes for the AAT-2 and AAT-3 regions of leaves of Triticum turgidum, T. aestivum, Secale cereale, x Triticosecale (hexaploid) and T. aestivum/ S. cereale 6R addition line are des...
    ";"https://citation-needed.springer.com/v2/references/10.1007/BF00028550?format=refman&flavour=citation"
"213";"Development and characterization of common wheat-Thinopyrum intermedium translocation lines with resistance to barley yellow dwarf virus";"https://link.springer.com/article/10.1023/A%3A1017508915932";"Z.Y. Xin, Z.Y. Zhang, X. Chen, Z.S. Lin, Y.Z. Ma, H.J. Xu, P.M. Banks… in Euphytica (2001)";"Article";"
      We developed some wheat-Th. intermedium...translocation lines,Yw642, Yw443 and Yw243, etc., showing good BYDV resistance from L1by induced homoeologous pairing using CS ph mutant. Characterization ofthese wheat l...
    ";"https://citation-needed.springer.com/v2/references/10.1023/A:1017508915932?format=refman&flavour=citation"
"214";"Genotypic differences in flag leaf area and their contribution to grain yield in wheat";"https://link.springer.com/article/10.1007/BF00036661";"J. H. Monyo, W. J. Whittington in Euphytica (1973)";"Article";"
      Flag leaf areas of the wheat variety Chinese Spring, six chromosome substitution lines...
    ";"https://citation-needed.springer.com/v2/references/10.1007/BF00036661?format=refman&flavour=citation"
"215";"Genetic analysis of resistance to Karnal bunt (Tilletia indica, Mitra) in bread wheat";"https://link.springer.com/article/10.1007/BF00025422";"Gurdev Singh, S. Rajaram, J. Montoya, G. Fuentes-Davila in Euphytica (1995)";"Article";"
      Karnal bunt caused by Tilletia indica in wheat seriously affects the quality of the grains. ... China, Brazil and CIMMYT (International Maize and Wheat Improvement Center) and a susceptible Indian cultivar...*BR2...
    ";"https://citation-needed.springer.com/v2/references/10.1007/BF00025422?format=refman&flavour=citation"
"216";"Chromosomal location of powdery mildew resistance genes in common wheat (Triticum aestivum L. em. Thell.) 3. Gene Pm22 in cultivar Virest";"https://link.springer.com/article/10.1007/BF00021064";"Hilma Peusha, Sai L. K. Hsam, Friedrich J. Zeller in Euphytica (1996)";"Article";"
      Common wheat cultivar Virest possesses mildew resistance which is ... genes, detected by response to eleven differential wheat powdery mildew isolates. F2...populations from hybrids of the 21 ‘Chinese Spring’ mon...
    ";"https://citation-needed.springer.com/v2/references/10.1007/BF00021064?format=refman&flavour=citation"
"217";"Identification of GA-insensitive Rht genes in Japanese modern varieties and landraces of wheat";"https://link.springer.com/article/10.1007/BF00037896";"Toshiaki Yamada in Euphytica (1989)";"Article";"
      GA-insensitive Rht genes of 18 Japanese modern varieties and landraces were identified. Out of 12 modern varieties tested 6 carried only Rht1, and the other 6 carried only Rht2. No varieties carried both Rht1 and...
    ";"https://citation-needed.springer.com/v2/references/10.1007/BF00037896?format=refman&flavour=citation"
"218";"Performance and selection for yield of wheat mutants derived from different cultivars";"https://link.springer.com/article/10.1007/BF00022480";"K. A. Siddiqui, A. Ghafoor Arain in Euphytica (1974)";"Article";"
      Phenotypically stable wheat mutants derived from the gamma rays, ethyl...6 generation. Mutants originating from Nayab could be classified into two main categories relative to the control viz. significantly higher...
    ";"https://citation-needed.springer.com/v2/references/10.1007/BF00022480?format=refman&flavour=citation"
"219";"Spontaneous hybridization in wheat populations of Transcaucasia";"https://link.springer.com/article/10.1007/BF00397790";"V. F. Dorofeev in Euphytica (1969)";"Article";"
      Hybrids naturally arising between Triticum species and between Triticum species and species of Secale and Aegilops are found in wheat fields in Transcaucasia. This continuous exchange of...
    ";"https://citation-needed.springer.com/v2/references/10.1007/BF00397790?format=refman&flavour=citation"
"220";"Genetic linkage of the Yr1 and Pm4 genes for stripe rust and powdery mildew resistances in wheat";"https://link.springer.com/article/10.1007/BF00022299";"R. A. McIntosh, C. J. Arts in Euphytica (1996)";"Article";"
      Genes Yr1 for resistance to stripe rust and Pm4a...for resistance to powdery mildew showed linkage of 2.0±0.6 cM. Close repulsion linkage probably accounts for the absence in European wheats of genes Yr1 and Pm4b
    ";"https://citation-needed.springer.com/v2/references/10.1007/BF00022299?format=refman&flavour=citation"
"221";"C-band polymorphism and structural rearrangements detected in common wheat (Triticum aestivum)";"https://link.springer.com/article/10.1007/BF00021392";"B. Friebe, B. S. Gill in Euphytica (1994)";"Article";"
      Giemsa C-banding allows for the identification of all 21 chromosome pairs of hexaploid wheat. However, variation in banding patterns of ... C-band polymorphism and structural rearrangement present in wheat cultiv...
    ";"https://citation-needed.springer.com/v2/references/10.1007/BF00021392?format=refman&flavour=citation"
"222";"Sunn pest problems in Central Anatolia and the role of wheat varieties in integrated control";"https://link.springer.com/article/10.1023/A%3A1018399721574";"E. Kinaci, G. Kinaci, A.F. Yildirim, A. Atli in Euphytica (1998)";"Article";"
      Wheat production is a major source of income ... is one of the most harmful pests of wheat in this region where the infested area ... and controlled greenhouse tests showed variable response of wheat to sunn pest...
    ";"https://citation-needed.springer.com/v2/references/10.1023/A:1018399721574?format=refman&flavour=citation"
"223";"The dynamics of shattering in maturing wheat";"https://link.springer.com/article/10.1007/BF00036883";"J. M. Clarke, R. M. De Pauw in Euphytica (1983)";"Article";"
      Temporal changes in shattering losses of 14 wheat (Triticum aestivum L.) genotypes were studied in an irrigated environment. The lines ranged in height from 68 to 98 cm; eight lines were fully awned while five we...
    ";"https://citation-needed.springer.com/v2/references/10.1007/BF00036883?format=refman&flavour=citation"
"224";"A test of supposed mutants for stem rust resistance in wheat";"https://link.springer.com/article/10.1007/BF00023639";"D. R. Knott in Euphytica (1990)";"Article";"
      Eight stem rust (Puccinia graminis tritici...Eriks. and Henn.) resistant lines (designated TICENA lines) that had been selected by Veiga et al. (1981) following gamma radiation of BH-1146 wheat (Triticum aestivum
    ";"https://citation-needed.springer.com/v2/references/10.1007/BF00023639?format=refman&flavour=citation"
"225";"The bread wheat races of bunt represented in the Australian bunt collection";"https://link.springer.com/article/10.1007/BF00041505";"J. A. Andrews in Euphytica (1987)";"Article";"
      The Australian Bunt Collection, obtained from infected crops between 1962–1977, has been classified into races, based on the differential reactions to ten known bunt resistant genes. Eight physiologic races of Ti...
    ";"https://citation-needed.springer.com/v2/references/10.1007/BF00041505?format=refman&flavour=citation"
"226";"Genetic control of spikelet number per ear with particular reference to rate of spikelet initiation in hexaploid wheat, Triticum aestivum L.em.Thell.Thell.";"https://link.springer.com/article/10.1007/BF00039120";"M. S. Rahman, G. M. Halloran, J. H. Wilson in Euphytica (1978)";"Article";"
      Inheritance of spikelet number per ear and rate of spikelet initiation in wheat (Triticum aestivum L. em. Thell....) was studied in the ‘land race’ spring wheats, 8–23 and 8–27 from Afghanistan...
    ";"https://citation-needed.springer.com/v2/references/10.1007/BF00039120?format=refman&flavour=citation"
"227";"Comparison of lattice designs, check plots, and moving means in wheat breeding trials";"https://link.springer.com/article/10.1007/BF00037258";"A. A. Rosielle in Euphytica (1980)";"Article";"
      Efficiencies of lattice designs, check plot designs, and moving means were compared in seven environments for control of error in wheat breeding trials. Lattice analyses of lattice designs ... suggested as a usef...
    ";"https://citation-needed.springer.com/v2/references/10.1007/BF00037258?format=refman&flavour=citation"
"228";"Genetic variation for waxy proteins and starch properties in Italian wheat germplasm";"https://link.springer.com/article/10.1023/A%3A1017527430353";"G. Boggini, M. Cattaneo, C. Paganoni, P. Vaccino in Euphytica (2001)";"Article";"
      Granule-bound starch synthase (GBSS) is the primary enzymeresponsible for the synthesis of amylose in amyloplasts of cereal endospermcells. In bread wheat there are three structural genes (Wx-A1, Wx-B1,and Wx-D1)...
    ";"https://citation-needed.springer.com/v2/references/10.1023/A:1017527430353?format=refman&flavour=citation"
"229";"Wheat breeding for end-product use";"https://link.springer.com/article/10.1023/A%3A1018368316547";"W. Bushuk in Euphytica (1998)";"Article";"
      High grain yield is the primary objective of most wheat breeding programs around the world. In some ... for example Australia and Canada, a new wheat cultivar must meet a prescribed level of ... for commercial pr...
    ";"https://citation-needed.springer.com/v2/references/10.1023/A:1018368316547?format=refman&flavour=citation"
"230";"Importance of wheat-rye translocations for breeding modern cultivar of Triticum aestivum L.";"https://link.springer.com/article/10.1023/A%3A1018361819215";"S.V. Rabinovich in Euphytica (1998)";"Article";"
      Investigations of the world wheat genepool conducted by Ukraine's National Centre ... the geographic origins and genetic background of numerous wheat lines possessing the 1BL/1RS wheat-rye translocation, 1B(R) su...
    ";"https://citation-needed.springer.com/v2/references/10.1023/A:1018361819215?format=refman&flavour=citation"
"231";"The genetics of rachis fragility and glume tenacity in semi-wild wheat";"https://link.springer.com/article/10.1023/A%3A1002933608249";"Wenguang Cao, G.J. Scoles, P. Hucl in Euphytica (1997)";"Article";"
      The inheritance of rachis fragility and glume tenacity in semi-wild wheat was studied in an attempt to help ... taxonomic status and genetic origin of semi-wild wheat. Progenies of crosses and backcrosses of semi...
    ";"https://citation-needed.springer.com/v2/references/10.1023/A:1002933608249?format=refman&flavour=citation"
"232";"On defining a winter wheat";"https://link.springer.com/article/10.1007/BF00037529";"H. J. Crofts in Euphytica (1989)";"Article";"
      An international survey of wheat breeders and scientists was conducted to determine ... a common understanding of the term ‘winter wheat’. Response to photoperiod was mentioned by ... response and the degree of r...
    ";"https://citation-needed.springer.com/v2/references/10.1007/BF00037529?format=refman&flavour=citation"
"233";"Comparative mapping and its use for the genetic analysis of agronomic characters in wheat";"https://link.springer.com/article/10.1007/BF00015715";"J. W. Snape, S. A. Quarrie, D. A. Laurie in Euphytica (1996)";"Article";"
      The advent of molecular marker systems has made it possible to develop comparative genetic maps of the genomes of related species in the Triticeae. These maps are being applied to locate and evaluate allelic and ...
    ";"https://citation-needed.springer.com/v2/references/10.1007/BF00015715?format=refman&flavour=citation"
"234";"Alien species as sources of physiological traits for wheat improvement";"https://link.springer.com/article/10.1007/BF00035403";"George Fedak in Euphytica (1985)";"Article";"
      Enhanced levels of drought, cold and salinity tolerance plus leaf photosynthesis and high protein content have been identified in species of Agropyron (Elytrigia) and Triticum (Aegilops).... Because these charact...
    ";"https://citation-needed.springer.com/v2/references/10.1007/BF00035403?format=refman&flavour=citation"
"235";"Heat tolerance for yield and its components in different wheat cultivars";"https://link.springer.com/article/10.1007/BF00039727";"L. Shpiler, A. Blum in Euphytica (1990)";"Article";"
      Twenty one diverse, standard and experimental cultivars of common spring wheat (Triticum aestivum L.) were tested for the effect of heat stress on phenology, yield and its components by growing the materials for ...
    ";"https://citation-needed.springer.com/v2/references/10.1007/BF00039727?format=refman&flavour=citation"
"236";"The combined effect of plant stature and maturity on the response of wheat and triticale accessions to Septoria tritici
    ";"https://link.springer.com/article/10.1007/BF00022306";"Z. Eyal, H. Talpaz in Euphytica (1990)";"Article";"
      The relationships between percent pycnidia coverage on the four uppermost leaves (PCD), plant height (PHT) and days to heading (HED) were evaluated for 21,000 wheat and triticale accessions tested in artificially...
    ";"https://citation-needed.springer.com/v2/references/10.1007/BF00022306?format=refman&flavour=citation"
"237";"Variation in landraces of durum wheat (T. turgidum L. conv. durum (Desf.) M.K.) from Turkey";"https://link.springer.com/article/10.1007/BF00037117";"Nusret Zencirci, Ekrem Kün in Euphytica (1995)";"Article";"
      Durum wheat is historically an important crop in Turkey. Diverse durum wheat germplasm has been recorded many times in ... . 812 single plant genotypes from 190 durum wheat populations of 23 provinces in Turkey h...
    ";"https://citation-needed.springer.com/v2/references/10.1007/BF00037117?format=refman&flavour=citation"
"238";"Resistance in three common wheat cultivars to Puccinia graminis
    ";"https://link.springer.com/article/10.1007/BF00035868";"A. K. Sanghi, N. H. Luig in Euphytica (1974)";"Article";"
      The genetic basis of resistance in three wheat cultivars to cultures of P. graminis tritici of unusua avirulence, P. graminis secalis, and sexual or somatic hybrids between these formae speciales was investigated...
    ";"https://citation-needed.springer.com/v2/references/10.1007/BF00035868?format=refman&flavour=citation"
"239";"Variation in sterility among wheat (Triticum aestivum L.) genotypes in response to boron deficiency in Nepal";"https://link.springer.com/article/10.1023/A%3A1002926117203";"C.B. Budhathoki, M. Subedi, K.D. Subedi in Euphytica (1997)";"Article";"
      Two field experiments were carried out at the Khairanitar Farm, Nepal during the winter season of 1993 to investigate whether wheat genotypes differ in their sterility response to...-1. Large differences were obs...
    ";"https://citation-needed.springer.com/v2/references/10.1023/A:1002926117203?format=refman&flavour=citation"
"240";"Factors responsible for levels of male sterility in photoperiod-sensitive cytoplasmic male sterile (PCMS) wheat lines";"https://link.springer.com/article/10.1023/A%3A1004031304997";"Koji Murai in Euphytica (2001)";"Article";"
      A `two-line system' using photoperiod-sensitivecytoplasmic male sterility (PCMS) caused by Aegilops crassa...cytoplasm has been proposed as a newmeans of producing hybrid wheat. The PCMS line ismaintained by self...
    ";"https://citation-needed.springer.com/v2/references/10.1023/A:1004031304997?format=refman&flavour=citation"
"241";"Diallel analysis of resistance to Septoria tritici isolates in durum wheat";"https://link.springer.com/article/10.1007/BF00024808";"M. van Ginkel, A. L. Scharen in Euphytica (1988)";"Article";"
      All crosses, except for reciprocals, were made among ten cultivars originating from crop improvement programs in North Africa and the Middle East. The entries varied widely in reaction to Septoria tritici. F1 and...
    ";"https://citation-needed.springer.com/v2/references/10.1007/BF00024808?format=refman&flavour=citation"
"242";"Molecular mapping and detection of the yellow rust resistance gene Yr26 in wheat transferred from Triticum turgidum L. using microsatellite markers";"https://link.springer.com/article/10.1023/A%3A1017510331721";"Jianxin Ma, Ronghua Zhou, Yushen Dong, Lanfen Wang, Xiaoming Wang, Jizeng Jia in Euphytica (2001)";"Article";"
      Yellow rust (stripe rust), caused by Puccinia striiformis Westend f. sp. tritici..., is one of the most devastating diseases of wheat throughout the world. Wheat-Haynaldia villosa 6AL.6VS translocation lines R43,...
    ";"https://citation-needed.springer.com/v2/references/10.1023/A:1017510331721?format=refman&flavour=citation"
"243";"Development of AFLP and STS markers for identifying wheat-rye translocations possessing 2RL";"https://link.springer.com/article/10.1023/A%3A1012020532485";"Yong Weon Seo, Cheol Seong Jang, Jerry W. Johnson in Euphytica (2001)";"Article";"
      Wheat-rye translocation line (2BS/2RL) has ... -2-lA, a retrotransposon-like element in wheat. Two STS primers (SJ07 and SJ09) ... ”, triticale experimental line Suwon 15, and wheat experimental line K-14 (1AL/1R...
    ";"https://citation-needed.springer.com/v2/references/10.1023/A:1012020532485?format=refman&flavour=citation"
"244";"Histological studies on the infection of triticale, wheat and rye byPuccinia recondita f.sp.tritici andP. recondita f.sp.recondita
    ";"https://link.springer.com/article/10.1007/BF00730674";"R. E. Niks, R. G. Dekens in Euphytica (1987)";"Article";"
      The reaction of eight triticales and of the respective wheat and rye parental lines to infection by the leaf rust fungi of wheat and rye were studied in the seedling stage. The histological observations indicated...
    ";"https://citation-needed.springer.com/v2/references/10.1007/BF00730674?format=refman&flavour=citation"
"245";"Effect of two wheat genotypes and Swedish environment on falling number, amylase activities, and protein concentration and composition";"https://link.springer.com/article/10.1023/A%3A1019646916905";"Eva Johansson in Euphytica (2002)";"Article";"
      Variation in falling number, amylase activities, protein concentration and composition were investigated in two wheat cultivars grown in Sweden over two seasons,...
                        
                          Tarso ha...
    ";"https://citation-needed.springer.com/v2/references/10.1023/A:1019646916905?format=refman&flavour=citation"
"246";"Chemical induction of sterility in wheat";"https://link.springer.com/article/10.1007/BF00032744";"C. C. Jan, C. O. Qualset, H. E. Vogt in Euphytica (1974)";"Article";"
      Foliar application of two spring wheat varieties, Anza and Yecora 70, with ... response was not typical of a male-sterile wheat and was not favorable to outcrossing. More...
    ";"https://citation-needed.springer.com/v2/references/10.1007/BF00032744?format=refman&flavour=citation"
"247";"The relationships between the dwarfing genes of wheat and rye";"https://link.springer.com/article/10.1007/BF00015721";"A. Börner, J. Plaschke, V. Korzun, A. J. Worland in Euphytica (1996)";"Article";"
      The improvement of lodging resistance by introducing major dwarfing genes, classified either as GA insensitive or GA sensitive, is one of the main strategies chosen by cereal breeders. In the present paper the cu...
    ";"https://citation-needed.springer.com/v2/references/10.1007/BF00015721?format=refman&flavour=citation"
"248";"The derivation of compensating translocations involving homoeologous group 3 chromosomes of wheat and rye";"https://link.springer.com/article/10.1007/BF00023578";"G. F. Marais, A. S. Marais in Euphytica (1994)";"Article";"
      The Sr27...translocation in WRT238 was found to consist of chromosome arms 3RS of rye and 3AS of common wheat. An attempt was made to purposely produce compensating translocations having 3RS and a wheat homoeolog...
    ";"https://citation-needed.springer.com/v2/references/10.1007/BF00023578?format=refman&flavour=citation"
"249";"Reaction of triticale, wheat and rye accessions to graminaceous Fusarium spp. infection at the seedling and adult plant growth stages";"https://link.springer.com/article/10.1007/BF00023757";"E. Arseniuk, T. Góral, H. J. Czembor in Euphytica (1993)";"Article";"
      Pathogenicity of 20 isolates of 12 Fusarium...species recovered from triticale seed against seedlings of 14 varieties of winter cereals (triticale, wheat, and rye) was tested. The most...F. avenaceum, F. culmorum...
    ";"https://citation-needed.springer.com/v2/references/10.1007/BF00023757?format=refman&flavour=citation"
"250";"Genetic analysis of resistance to bacterial leaf streak caused by Xanthomonas campestris pv. undulosa in bread wheat";"https://link.springer.com/article/10.1007/BF00023506";"Etienne Duveiller, Maarten van Ginkel, Marja Thijssen in Euphytica (1992)";"Article";"
      The inheritance of resistance to bacterial leaf streak or black chaff of wheat was studied under field conditions, with an...Xanthomonas campestris pv. undulosa. A complete series of crosses between five parents,...
    ";"https://citation-needed.springer.com/v2/references/10.1007/BF00023506?format=refman&flavour=citation"
"251";"Flowering biology of wheat, particularly in view of hybrid seed production — A review";"https://link.springer.com/article/10.1007/BF00056076";"A. Ph. De Vries in Euphytica (1971)";"Article";"
      Floral and flowering biology of wheat are reviewed, particularly in relation to hybrid ... -fertilization. After a general description of the wheat floret and flowering process attention is paid...
    ";"https://citation-needed.springer.com/v2/references/10.1007/BF00056076?format=refman&flavour=citation"
"252";"Location of genes for high grain protein percentage and other quantitative traits in wild wheat Triticum turgidum var. dicoccoides
    ";"https://link.springer.com/article/10.1007/BF00022420";"A. A. Levy, M. Feldman in Euphytica (1989)";"Article";"
      The genetic control of grain protein percentage (GPP) in the wild tetraploid wheat, Triticum turgidum var. dicoccoides, was determined by crossing four accessions of this taxonomic variety with durum cultivar Inb...
    ";"https://citation-needed.springer.com/v2/references/10.1007/BF00022420?format=refman&flavour=citation"
"253";"Oxygen use from solution by wheat genotypes differing in tolerance to waterlogging";"https://link.springer.com/article/10.1023/A%3A1024622405505";"G. Boru, M. van Ginkel, R.M. Trethowan, L. Boersma, W.E. Kronstad in Euphytica (2003)";"Article";"
      Inadequate availability of oxygen to theroots is a major growth-limiting factor forplants exposed to waterlogging stress. Spring bread wheat genotypes (Triticumaestivum...L.) have been found to differ intheir tol...
    ";"https://citation-needed.springer.com/v2/references/10.1023/A:1024622405505?format=refman&flavour=citation"
"254";"SDS-PAGE of the high-molecular-weight subunits of wheat glutenin and the characterization of 1R (1B) substitution and 1BL/1RS translocation lines";"https://link.springer.com/article/10.1007/BF00022742";"Johannes H. E. Moonen, Anton C. Zeven in Euphytica (1984)";"Article";"
      The high-molecular-weight subunits of glutenin from wheat 1R(1B) substitution and 1BL/1RS translocation...1 and R2 were characterized in 1R(1B) substitution, but not in 1BL/1RS translocation lines. R1 and R2 were...
    ";"https://citation-needed.springer.com/v2/references/10.1007/BF00022742?format=refman&flavour=citation"
"255";"The electrofocusing composition of the Large and Small Sub-unit polypeptides of Fraction-1-Protein in rice x wheat and rice x sorghum hybrids";"https://link.springer.com/article/10.1007/BF00023653";"N. K. Srivastava, S. Yoshida in Euphytica (1990)";"Article";"
      The polypeptide composition of Fraction-1-Protein (F1P) from rice × sorghum, rice × wheat hybrids and their respective parents have been ... composed of three polypeptides in the rice and wheat parents and rice ×...
    ";"https://citation-needed.springer.com/v2/references/10.1007/BF00023653?format=refman&flavour=citation"
"256";"Spike-based and seed-based selection for preharvest sprouting resistance in wheat";"https://link.springer.com/article/10.1007/BF00022308";"A. H. Paterson, M. E. Sorrells in Euphytica (1990)";"Article";"
      The utility of spike- and seed-based mass selection techniques for improving preharvest sprouting resistance in heterogeneous wheat (Triticum...spp.) populations was evaluated. Sorting seed by size improved selec...
    ";"https://citation-needed.springer.com/v2/references/10.1007/BF00022308?format=refman&flavour=citation"
"257";"Variation in high molecular weight glutenin subunits in landraces of hexaploid wheat from Afghanistan";"https://link.springer.com/article/10.1007/BF00730641";"E. S. Lagudah, R. G. Flood, G. M. Halloran in Euphytica (1987)";"Article";"
      Variation for high molecular weight (HMW) glutenin subunits is reported in Afghan hexaploid wheat landraces from different locations in the country...Glu-A1 andGlu-B1 loci coding from HMW glutenin subunits, but t...
    ";"https://citation-needed.springer.com/v2/references/10.1007/BF00730641?format=refman&flavour=citation"
